Titre,Lien,Note,Genre,Genre numerique
jitsu-wa-watashi-wa,https://voiranime.com/anime/jitsu-wa-watashi-wa/,3.6,Comedy&Fantasy&Romance,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
jojo-no-kimyou-na-bouken,https://voiranime.com/anime/jojo-no-kimyou-na-bouken/,4.1,Action&Adventure&Supernatural,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
jojo-no-kimyou-na-bouken-vf,https://voiranime.com/anime/jojo-no-kimyou-na-bouken-vf/,4.1,Action&Adventure&Supernatural,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
jojo-no-kimyou-na-bouken-diamond-wa-kudakenai,https://voiranime.com/anime/jojo-no-kimyou-na-bouken-diamond-wa-kudakenai/,4.2,Action&Adventure&Comedy&Drama&Supernatural,"[1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
k-seven-stories-lost-small-world-ori-no-mukou-ni,https://voiranime.com/anime/k-seven-stories-lost-small-world-ori-no-mukou-ni/,3.5,Action&Supernatural,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
k-seven-stories-memory-of-red-burn,https://voiranime.com/anime/k-seven-stories-memory-of-red-burn/,3.7,Action&Supernatural,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
k-seven-stories-rb-blaze,https://voiranime.com/anime/k-seven-stories-rb-blaze/,4,Action&Supernatural,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
k-seven-stories-sideblue-tenrou-no-gotoku,https://voiranime.com/anime/k-seven-stories-sideblue-tenrou-no-gotoku/,3.8,Action&Supernatural,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
k-seven-stories-sidegreen-uwagaki-sekai,https://voiranime.com/anime/k-seven-stories-sidegreen-uwagaki-sekai/,3.8,Action&Supernatural,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
k-on,https://voiranime.com/anime/k-on/,4.4,Comedy&Music&Slice of Life,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
k-on-3,https://voiranime.com/anime/k-on-3/,3.9,Comedy&Music&Slice of Life,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
k-on-movie,https://voiranime.com/anime/k-on-movie/,4.5,Comedy&Music&Slice of Life,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
k-on-movie-vf,https://voiranime.com/anime/k-on-movie-vf/,3.9,Comedy&Music&Slice of Life,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
k-on-ura-on,https://voiranime.com/anime/k-on-ura-on/,3.2,Comedy,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
k-on-2,https://voiranime.com/anime/k-on-2/,4.5,Comedy&Music&Slice of Life,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
k-on-keikaku,https://voiranime.com/anime/k-on-keikaku/,4,Comedy&Music&Slice of Life,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
